date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:52:03	38602/38602	---M-Z	200	added ('OK')	text/html	etag:%2296ca-63e135c0-e9557001e18b27e5;gz%22	https://frenify.com/work/envato/frenify/html/neoh/1/index.html	C:/Users/khali/OneDrive/Desktop/gaming/frenify.com/work/envato/frenify/html/neoh/1/index.html	(from )
13:52:04	122/122	---M-Z	200	added ('OK')	text/plain	date:Tue,%2025%20Feb%202025%2008:22:24%20GMT	https://frenify.com/robots.txt		(from )
13:52:04	44197/44197	---M-Z	200	added ('OK')	text/css	etag:%22aca5-63e135dd-20a93707ca6413d6;gz%22	https://frenify.com/work/envato/frenify/html/neoh/1/css/plugins.css	C:/Users/khali/OneDrive/Desktop/gaming/frenify.com/work/envato/frenify/html/neoh/1/css/plugins.css	(from https://frenify.com/work/envato/frenify/html/neoh/1/index.html)
13:52:04	75804/75804	---M-Z	200	added ('OK')	text/css	etag:%221281c-63e135dd-f790f9ce4e4f2cf4;gz%22	https://frenify.com/work/envato/frenify/html/neoh/1/css/style.css?ver=4.0	C:/Users/khali/OneDrive/Desktop/gaming/frenify.com/work/envato/frenify/html/neoh/1/css/stylef9b8.css	(from https://frenify.com/work/envato/frenify/html/neoh/1/index.html)
13:52:05	867/867	---M-Z	200	added ('OK')	image/svg+xml	etag:%22363-63e135de-b2d8bd603275d7b5;gz%22	https://frenify.com/work/envato/frenify/html/neoh/1/svg/cancel.svg	C:/Users/khali/OneDrive/Desktop/gaming/frenify.com/work/envato/frenify/html/neoh/1/svg/cancel.svg	(from https://frenify.com/work/envato/frenify/html/neoh/1/index.html)
13:52:05	1433/1433	---M-Z	200	added ('OK')	image/svg+xml	etag:%22599-63e135df-1dfa223f22ffe0;gz%22	https://frenify.com/work/envato/frenify/html/neoh/1/svg/opensea.svg	C:/Users/khali/OneDrive/Desktop/gaming/frenify.com/work/envato/frenify/html/neoh/1/svg/opensea.svg	(from https://frenify.com/work/envato/frenify/html/neoh/1/index.html)
13:52:05	1596/1596	---M-Z	200	added ('OK')	image/svg+xml	etag:%2263c-63e135df-7bfe88762fae42cd;gz%22	https://frenify.com/work/envato/frenify/html/neoh/1/svg/discord.svg	C:/Users/khali/OneDrive/Desktop/gaming/frenify.com/work/envato/frenify/html/neoh/1/svg/discord.svg	(from https://frenify.com/work/envato/frenify/html/neoh/1/index.html)
13:52:05	38892/38892	---M-Z	200	added ('OK')	text/html	etag:%2297ec-63e135c0-3d7e5f141218ffad;gz%22	https://frenify.com/work/envato/frenify/html/neoh/1/index-kenburns.html	C:/Users/khali/OneDrive/Desktop/gaming/frenify.com/work/envato/frenify/html/neoh/1/index-kenburns.html	(from https://frenify.com/work/envato/frenify/html/neoh/1/index.html)
13:52:06	38791/38791	---M-Z	200	added ('OK')	text/html	etag:%229787-63e135c0-1284d1ecd4135de3;gz%22	https://frenify.com/work/envato/frenify/html/neoh/1/index-half-kenburns.html	C:/Users/khali/OneDrive/Desktop/gaming/frenify.com/work/envato/frenify/html/neoh/1/index-half-kenburns.html	(from https://frenify.com/work/envato/frenify/html/neoh/1/index.html)
13:52:06	39109/39109	---M-Z	200	added ('OK')	text/html	etag:%2298c5-63e135c0-ae5bad7b546050c3;gz%22	https://frenify.com/work/envato/frenify/html/neoh/1/index-half-slider.html	C:/Users/khali/OneDrive/Desktop/gaming/frenify.com/work/envato/frenify/html/neoh/1/index-half-slider.html	(from https://frenify.com/work/envato/frenify/html/neoh/1/index.html)
13:52:06	19655/19655	---M-Z	200	added ('OK')	text/html	etag:%224cc7-63e135c0-dd6500c902c9017;gz%22	https://frenify.com/work/envato/frenify/html/neoh/1/about.html	C:/Users/khali/OneDrive/Desktop/gaming/frenify.com/work/envato/frenify/html/neoh/1/about.html	(from https://frenify.com/work/envato/frenify/html/neoh/1/index.html)
13:52:06	62398/62398	---M-Z	200	added ('OK')	text/html	etag:%22f3be-63e135c0-fde009d5f90a8077;gz%22	https://frenify.com/work/envato/frenify/html/neoh/1/collection.html	C:/Users/khali/OneDrive/Desktop/gaming/frenify.com/work/envato/frenify/html/neoh/1/collection.html	(from https://frenify.com/work/envato/frenify/html/neoh/1/index.html)
13:52:07	15683/15683	---M-Z	200	added ('OK')	text/html	etag:%223d43-63e135c0-349cbe96f5306fd7;gz%22	https://frenify.com/work/envato/frenify/html/neoh/1/blog.html	C:/Users/khali/OneDrive/Desktop/gaming/frenify.com/work/envato/frenify/html/neoh/1/blog.html	(from https://frenify.com/work/envato/frenify/html/neoh/1/index.html)
13:52:07	11275/11275	---M-Z	200	added ('OK')	text/html	etag:%222c0b-63e135c0-ee11c202d8e9110c;gz%22	https://frenify.com/work/envato/frenify/html/neoh/1/contact.html	C:/Users/khali/OneDrive/Desktop/gaming/frenify.com/work/envato/frenify/html/neoh/1/contact.html	(from https://frenify.com/work/envato/frenify/html/neoh/1/index.html)
13:52:07	1641/1641	---M--	200	added ('OK')	image/png	etag:%22669-63e135de-7576b1f308712786;;;%22	https://frenify.com/work/envato/frenify/html/neoh/1/img/logo.png	C:/Users/khali/OneDrive/Desktop/gaming/frenify.com/work/envato/frenify/html/neoh/1/img/logo.png	(from https://frenify.com/work/envato/frenify/html/neoh/1/index.html)
13:52:07	1014/1014	---M-Z	200	added ('OK')	image/svg+xml	etag:%223f6-63e135df-2308f87d978486e3;gz%22	https://frenify.com/work/envato/frenify/html/neoh/1/svg/right-arr.svg	C:/Users/khali/OneDrive/Desktop/gaming/frenify.com/work/envato/frenify/html/neoh/1/svg/right-arr.svg	(from https://frenify.com/work/envato/frenify/html/neoh/1/index.html)
13:52:08	116527/116527	---M--	200	added ('OK')	image/jpeg	etag:%221c72f-63e13628-81784a26be8935a0;;;%22	https://frenify.com/work/envato/frenify/html/neoh/1/img/about/1.jpg	C:/Users/khali/OneDrive/Desktop/gaming/frenify.com/work/envato/frenify/html/neoh/1/img/about/1.jpg	(from https://frenify.com/work/envato/frenify/html/neoh/1/index.html)
13:52:08	312165/312165	---M--	200	added ('OK')	image/jpeg	etag:%224c365-63e1362b-ef9bdc7b6ccd8ba5;;;%22	https://frenify.com/work/envato/frenify/html/neoh/1/img/hero/bg.jpg	C:/Users/khali/OneDrive/Desktop/gaming/frenify.com/work/envato/frenify/html/neoh/1/img/hero/bg.jpg	(from https://frenify.com/work/envato/frenify/html/neoh/1/index.html)
13:52:09	458/458	---M-Z	200	added ('OK')	image/svg+xml	etag:%221ca-63e135df-e4fb30d0827b189c;gz%22	https://frenify.com/work/envato/frenify/html/neoh/1/svg/divider.svg	C:/Users/khali/OneDrive/Desktop/gaming/frenify.com/work/envato/frenify/html/neoh/1/svg/divider.svg	(from https://frenify.com/work/envato/frenify/html/neoh/1/index.html)
